"longitude","latitude","reconstruction_log_probability","percentile"
14.37765369,54.04932413,-3.48576235771179,"50-75"
14.27765369,53.94932413,-3.86666893959045,"50-75"
14.57765369,54.44932413,-2.81674122810364,"75-100"
14.17765369,54.04932413,-3.87023019790649,"50-75"
14.07765369,54.14932413,-3.57594418525696,"50-75"
14.37765369,53.94932413,-3.28238558769226,"75-100"
14.47765369,54.14932413,-3.32268261909485,"75-100"
14.47765369,54.34932413,-2.85700106620789,"75-100"
14.47765369,54.04932413,-3.68340015411377,"50-75"
14.67765369,54.34932413,-2.87700438499451,"75-100"
14.67765369,54.54932413,-3.05862402915955,"75-100"
18.77765369,54.44932413,-3.61375594139099,"50-75"
14.57765369,54.24932413,-2.95115995407104,"75-100"
18.27765369,56.04932413,-3.66357398033142,"50-75"
18.27765369,56.24932413,-3.05778551101685,"75-100"
13.97765369,54.24932413,-5.10838747024536,"25-50"
13.97765369,54.44932413,-5.00271987915039,"25-50"
10.67765369,54.94932413,-2.74253392219543,"75-100"
14.67765369,54.44932413,-3.04367518424988,"75-100"
14.07765369,54.44932413,-4.84186220169067,"25-50"
14.17765369,54.54932413,-4.53438997268677,"25-50"
20.27765369,55.54932413,-3.28201580047607,"75-100"
13.97765369,54.14932413,-3.60844540596008,"50-75"
14.57765369,54.14932413,-3.25536060333252,"75-100"
13.97765369,54.04932413,-5.41182899475098,"0-25"
12.97765369,54.64932413,-2.94933938980103,"75-100"
12.97765369,54.44932413,-3.29901242256165,"75-100"
12.87765369,54.54932413,-2.93922090530396,"75-100"
12.97765369,54.54932413,-3.03263998031616,"75-100"
10.47765369,56.94932413,-2.99991726875305,"75-100"
10.57765369,56.94932413,-2.91926097869873,"75-100"
10.67765369,56.84932413,-2.93138337135315,"75-100"
10.37765369,56.84932413,-3.07725191116333,"75-100"
10.57765369,56.64932413,-3.05403733253479,"75-100"
10.77765369,56.84932413,-5.31008243560791,"25-50"
10.37765369,56.74932413,-3.23221230506897,"75-100"
15.77765369,54.34932413,-3.18154096603394,"75-100"
20.57765369,55.44932413,-3.04494094848633,"75-100"
14.57765369,54.04932413,-3.89311671257019,"50-75"
13.87765369,54.44932413,-3.32635307312012,"75-100"
20.27765369,55.24932413,-3.56665754318237,"50-75"
16.67765369,55.04932413,-2.93629860877991,"75-100"
16.67765369,54.84932413,-2.80827164649963,"75-100"
14.37765369,54.54932413,-3.0979151725769,"75-100"
20.37765369,55.54932413,-3.38986158370972,"50-75"
16.57765369,54.74932413,-4.619704246521,"25-50"
14.07765369,54.54932413,-4.60935211181641,"25-50"
13.07765369,54.44932413,-3.54331684112549,"50-75"
20.57765369,55.64932413,-4.31667184829712,"25-50"
13.87765369,54.14932413,-3.70128607749939,"50-75"
13.87765369,54.24932413,-3.47328782081604,"50-75"
14.47765369,54.54932413,-3.01230978965759,"75-100"
20.67765369,55.64932413,-4.04753112792969,"50-75"
20.77765369,55.64932413,-5.12817907333374,"25-50"
20.87765369,55.64932413,-4.86375761032104,"25-50"
20.67765369,55.74932413,-3.34848952293396,"75-100"
20.67765369,55.84932413,-3.31590056419373,"75-100"
20.37765369,55.14932413,-4.11411571502686,"50-75"
13.07765369,54.64932413,-3.05457663536072,"75-100"
12.47765369,55.14932413,-2.80923342704773,"75-100"
12.37765369,55.14932413,-2.75449347496033,"75-100"
20.57765369,55.14932413,-2.90616083145142,"75-100"
17.57765369,55.64932413,-5.26015186309814,"25-50"
17.37765369,55.64932413,-4.33572626113892,"25-50"
12.47765369,55.34932413,-3.04828333854675,"75-100"
15.57765369,54.34932413,-3.50401306152344,"50-75"
15.37765369,54.34932413,-3.25075817108154,"75-100"
15.47765369,54.24932413,-3.42774868011475,"50-75"
12.57765369,55.44932413,-5.17192888259888,"25-50"
12.37765369,55.44932413,-2.97308993339539,"75-100"
13.47765369,54.24932413,-3.83753180503845,"50-75"
14.57765369,55.04932413,-3.02405881881714,"75-100"
12.87765369,54.74932413,-3.79025936126709,"50-75"
20.47765369,56.34932413,-4.50904989242554,"25-50"
12.87765369,55.04932413,-5.41056346893311,"0-25"
10.07765369,55.04932413,-3.24275779724121,"75-100"
14.77765369,54.84932413,-6.14345407485962,"0-25"
14.47765369,54.44932413,-2.95381927490234,"75-100"
14.87765369,54.94932413,-3.02602076530457,"75-100"
12.77765369,55.24932413,-5.7882924079895,"0-25"
14.27765369,54.64932413,-4.86507368087769,"25-50"
12.87765369,55.24932413,-5.081467628479,"25-50"
13.57765369,54.24932413,-3.97989773750305,"50-75"
13.87765369,54.54932413,-5.13324022293091,"25-50"
12.77765369,55.34932413,-4.90025806427002,"25-50"
12.47765369,55.44932413,-2.95396852493286,"75-100"
14.77765369,54.94932413,-2.76734328269958,"75-100"
11.27765369,56.04932413,-3.028324842453,"75-100"
20.67765369,54.94932413,-5.58267593383789,"0-25"
17.47765369,55.04932413,-5.44532299041748,"0-25"
17.27765369,54.84932413,-3.32807016372681,"75-100"
14.67765369,54.84932413,-5.47010564804077,"0-25"
14.17765369,54.64932413,-4.68186855316162,"25-50"
20.67765369,55.14932413,-2.85818433761597,"75-100"
12.67765369,54.84932413,-2.83574271202087,"75-100"
20.17765369,55.24932413,-4.00131464004517,"50-75"
13.77765369,54.44932413,-3.4448184967041,"50-75"
13.87765369,54.34932413,-3.51002407073975,"50-75"
13.77765369,54.34932413,-3.46083045005798,"50-75"
13.77765369,54.24932413,-3.77959871292114,"50-75"
20.27765369,55.14932413,-5.17253732681274,"25-50"
20.87765369,55.54932413,-4.6072564125061,"25-50"
20.37765369,55.04932413,-3.10272455215454,"75-100"
16.67765369,54.74932413,-4.54944944381714,"25-50"
20.27765369,55.84932413,-5.7312445640564,"0-25"
9.777653694,55.24932413,-2.86956977844238,"75-100"
20.67765369,55.34932413,-2.94699931144714,"75-100"
20.07765369,55.34932413,-3.21690225601196,"75-100"
20.97765369,55.54932413,-4.60044765472412,"25-50"
20.57765369,55.74932413,-3.30636930465698,"75-100"
10.37765369,54.94932413,-2.96472191810608,"75-100"
20.77765369,55.04932413,-5.19280385971069,"25-50"
12.37765369,54.74932413,-3.00260448455811,"75-100"
10.57765369,54.44932413,-4.75926494598389,"25-50"
14.77765369,54.54932413,-3.14452433586121,"75-100"
12.97765369,54.74932413,-3.22317218780518,"75-100"
20.27765369,55.94932413,-5.55543613433838,"0-25"
14.57765369,54.74932413,-5.99533891677856,"0-25"
20.77765369,55.44932413,-4.64570236206055,"25-50"
10.97765369,56.94932413,-5.33937168121338,"25-50"
11.07765369,57.04932413,-2.82580232620239,"75-100"
11.17765369,56.84932413,-5.30315637588501,"25-50"
10.97765369,56.84932413,-5.36026763916016,"25-50"
11.07765369,56.94932413,-5.36045742034912,"25-50"
11.17765369,56.94932413,-5.22049808502197,"25-50"
11.07765369,56.84932413,-5.26983499526978,"25-50"
11.17765369,56.74932413,-3.0885534286499,"75-100"
14.77765369,54.44932413,-3.13324785232544,"75-100"
14.67765369,54.24932413,-2.99625515937805,"75-100"
12.47765369,54.84932413,-2.84615397453308,"75-100"
10.17765369,54.54932413,-4.90663528442383,"25-50"
16.77765369,54.84932413,-2.99315786361694,"75-100"
11.77765369,54.54932413,-2.78364753723145,"75-100"
13.97765369,54.64932413,-4.81586885452271,"25-50"
12.47765369,54.74932413,-3.31367874145508,"75-100"
20.87765369,55.04932413,-5.26253366470337,"25-50"
10.47765369,54.44932413,-4.62806844711304,"25-50"
14.37765369,54.64932413,-3.08692955970764,"75-100"
12.17765369,57.14932413,-3.08592772483826,"75-100"
17.47765369,54.94932413,-2.90551400184631,"75-100"
17.37765369,54.84932413,-3.33296060562134,"75-100"
13.17765369,54.64932413,-3.13405895233154,"75-100"
10.77765369,56.64932413,-3.08626008033752,"75-100"
10.87765369,56.64932413,-3.1046667098999,"75-100"
10.77765369,56.54932413,-3.09822964668274,"75-100"
12.07765369,54.64932413,-2.82466626167297,"75-100"
10.67765369,56.94932413,-2.89072751998901,"75-100"
12.77765369,54.84932413,-2.90458846092224,"75-100"
20.97765369,55.34932413,-3.18082475662231,"75-100"
12.57765369,54.84932413,-5.64758014678955,"0-25"
21.17765369,54.94932413,-5.36550283432007,"25-50"
13.07765369,54.74932413,-3.20703911781311,"75-100"
20.77765369,55.24932413,-2.95421242713928,"75-100"
12.07765369,57.24932413,-3.00875687599182,"75-100"
16.37765369,54.74932413,-3.490079164505,"50-75"
16.37765369,54.64932413,-4.59175682067871,"25-50"
16.27765369,54.54932413,-3.09416389465332,"75-100"
16.37765369,54.54932413,-4.71819019317627,"25-50"
16.37765369,54.44932413,-3.26669096946716,"75-100"
16.27765369,54.74932413,-3.25821566581726,"75-100"
21.07765369,55.04932413,-5.28422975540161,"25-50"
